Geography,Geography code,Age,Orientation,Count,Percentage
Northern Ireland,N92000002,Usual residents aged 16 and over,All,1514745,NA
Northern Ireland,N92000002,Usual residents aged 16 and over,Straight or heterosexual,1363859,90.038851423837
Northern Ireland,N92000002,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",31617,2.08728201776537
Northern Ireland,N92000002,Usual residents aged 16 and over,Prefer not to say/ Not stated,119269,7.87386655839762
Northern Ireland,N92000002,Usual residents aged 16-24 years,All,201369,NA
Northern Ireland,N92000002,Usual residents aged 16-24 years,Straight or heterosexual,175346,87.0769582209774
Northern Ireland,N92000002,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",9283,4.60994492697486
Northern Ireland,N92000002,Usual residents aged 16-24 years,Prefer not to say/ Not stated,16740,8.31309685204773
Northern Ireland,N92000002,Usual residents aged 25-39 years,All,369770,NA
Northern Ireland,N92000002,Usual residents aged 25-39 years,Straight or heterosexual,330734,89.4431673743138
Northern Ireland,N92000002,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",13991,3.78370338318414
Northern Ireland,N92000002,Usual residents aged 25-39 years,Prefer not to say/ Not stated,25045,6.7731292425021
Northern Ireland,N92000002,Usual residents aged 40-64 years,All,617126,NA
Northern Ireland,N92000002,Usual residents aged 40-64 years,Straight or heterosexual,571502,92.60702028435041
Northern Ireland,N92000002,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",7459,1.20866727378202
Northern Ireland,N92000002,Usual residents aged 40-64 years,Prefer not to say/ Not stated,38165,6.18431244186763
Northern Ireland,N92000002,Usual residents aged 65+ years,All,326480,NA
Northern Ireland,N92000002,Usual residents aged 65+ years,Straight or heterosexual,286277,87.68592256799799
Northern Ireland,N92000002,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",884,0.27076696888017604
Northern Ireland,N92000002,Usual residents aged 65+ years,Prefer not to say/ Not stated,39319,12.043310463121799
Antrim and Newtownabbey,N09000001,Usual residents aged 16 and over,All,116398,NA
Antrim and Newtownabbey,N09000001,Usual residents aged 16 and over,Straight or heterosexual,106209,91.24641319999999
Antrim and Newtownabbey,N09000001,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",2341,2.0112029
Antrim and Newtownabbey,N09000001,Usual residents aged 16 and over,Prefer not to say/ Not stated,7848,6.7423839
Antrim and Newtownabbey,N09000001,Usual residents aged 16-24 years,All,14753,NA
Antrim and Newtownabbey,N09000001,Usual residents aged 16-24 years,Straight or heterosexual,13091,88.7344947
Antrim and Newtownabbey,N09000001,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",636,4.3109876
Antrim and Newtownabbey,N09000001,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1026,6.9545177
Antrim and Newtownabbey,N09000001,Usual residents aged 25-39 years,All,28177,NA
Antrim and Newtownabbey,N09000001,Usual residents aged 25-39 years,Straight or heterosexual,25566,90.733577
Antrim and Newtownabbey,N09000001,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",1059,3.7583844999999996
Antrim and Newtownabbey,N09000001,Usual residents aged 25-39 years,Prefer not to say/ Not stated,1552,5.5080385000000005
Antrim and Newtownabbey,N09000001,Usual residents aged 40-64 years,All,48368,NA
Antrim and Newtownabbey,N09000001,Usual residents aged 40-64 years,Straight or heterosexual,45236,93.5246444
Antrim and Newtownabbey,N09000001,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",577,1.1929375
Antrim and Newtownabbey,N09000001,Usual residents aged 40-64 years,Prefer not to say/ Not stated,2555,5.2824181
Antrim and Newtownabbey,N09000001,Usual residents aged 65+ years,All,25100,NA
Antrim and Newtownabbey,N09000001,Usual residents aged 65+ years,Straight or heterosexual,22316,88.9083665
Antrim and Newtownabbey,N09000001,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",69,0.27490040000000004
Antrim and Newtownabbey,N09000001,Usual residents aged 65+ years,Prefer not to say/ Not stated,2715,10.8167331
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 16 and over,All,170411,NA
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 16 and over,Straight or heterosexual,154259,90.5217386
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",2496,1.4646942
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 16 and over,Prefer not to say/ Not stated,13656,8.0135672
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 16-24 years,All,21773,NA
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 16-24 years,Straight or heterosexual,19407,89.1333303
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",727,3.3389978
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1639,7.5276719000000005
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 25-39 years,All,43101,NA
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 25-39 years,Straight or heterosexual,38971,90.4178557
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",1038,2.4082968
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 25-39 years,Prefer not to say/ Not stated,3092,7.1738475
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 40-64 years,All,70547,NA
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 40-64 years,Straight or heterosexual,65510,92.86007910000001
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",656,0.9298765
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 40-64 years,Prefer not to say/ Not stated,4381,6.2100444
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 65+ years,All,34990,NA
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 65+ years,Straight or heterosexual,30371,86.79908549999999
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",75,0.214347
"Armagh City, Banbridge and Craigavon",N09000002,Usual residents aged 65+ years,Prefer not to say/ Not stated,4544,12.9865676
Belfast,N09000003,Usual residents aged 16 and over,All,279307,NA
Belfast,N09000003,Usual residents aged 16 and over,Straight or heterosexual,243280,87.10128999999999
Belfast,N09000003,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",11361,4.0675672
Belfast,N09000003,Usual residents aged 16 and over,Prefer not to say/ Not stated,24666,8.8311428
Belfast,N09000003,Usual residents aged 16-24 years,All,46548,NA
Belfast,N09000003,Usual residents aged 16-24 years,Straight or heterosexual,38096,81.8423992
Belfast,N09000003,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",3499,7.5169717
Belfast,N09000003,Usual residents aged 16-24 years,Prefer not to say/ Not stated,4953,10.640629
Belfast,N09000003,Usual residents aged 25-39 years,All,77939,NA
Belfast,N09000003,Usual residents aged 25-39 years,Straight or heterosexual,66416,85.21536069999999
Belfast,N09000003,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",5261,6.7501508
Belfast,N09000003,Usual residents aged 25-39 years,Prefer not to say/ Not stated,6262,8.0344885
Belfast,N09000003,Usual residents aged 40-64 years,All,103973,NA
Belfast,N09000003,Usual residents aged 40-64 years,Straight or heterosexual,94203,90.6033297
Belfast,N09000003,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",2384,2.292903
Belfast,N09000003,Usual residents aged 40-64 years,Prefer not to say/ Not stated,7386,7.1037672999999995
Belfast,N09000003,Usual residents aged 65+ years,All,50847,NA
Belfast,N09000003,Usual residents aged 65+ years,Straight or heterosexual,44565,87.6452888
Belfast,N09000003,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",217,0.4267705
Belfast,N09000003,Usual residents aged 65+ years,Prefer not to say/ Not stated,6065,11.9279407
Causeway Coast and Glens,N09000004,Usual residents aged 16 and over,All,114158,NA
Causeway Coast and Glens,N09000004,Usual residents aged 16 and over,Straight or heterosexual,104203,91.27963
Causeway Coast and Glens,N09000004,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",1637,1.4339775000000001
Causeway Coast and Glens,N09000004,Usual residents aged 16 and over,Prefer not to say/ Not stated,8318,7.2863925
Causeway Coast and Glens,N09000004,Usual residents aged 16-24 years,All,14576,NA
Causeway Coast and Glens,N09000004,Usual residents aged 16-24 years,Straight or heterosexual,13099,89.8669045
Causeway Coast and Glens,N09000004,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",517,3.5469265
Causeway Coast and Glens,N09000004,Usual residents aged 16-24 years,Prefer not to say/ Not stated,960,6.586169
Causeway Coast and Glens,N09000004,Usual residents aged 25-39 years,All,24700,NA
Causeway Coast and Glens,N09000004,Usual residents aged 25-39 years,Straight or heterosexual,22732,92.0323887
Causeway Coast and Glens,N09000004,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",649,2.6275304
Causeway Coast and Glens,N09000004,Usual residents aged 25-39 years,Prefer not to say/ Not stated,1319,5.340081
Causeway Coast and Glens,N09000004,Usual residents aged 40-64 years,All,47568,NA
Causeway Coast and Glens,N09000004,Usual residents aged 40-64 years,Straight or heterosexual,44419,93.3800034
Causeway Coast and Glens,N09000004,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",419,0.8808442999999999
Causeway Coast and Glens,N09000004,Usual residents aged 40-64 years,Prefer not to say/ Not stated,2730,5.7391524
Causeway Coast and Glens,N09000004,Usual residents aged 65+ years,All,27314,NA
Causeway Coast and Glens,N09000004,Usual residents aged 65+ years,Straight or heterosexual,23953,87.694955
Causeway Coast and Glens,N09000004,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",52,0.1903786
Causeway Coast and Glens,N09000004,Usual residents aged 65+ years,Prefer not to say/ Not stated,3309,12.1146665
Derry City and Strabane,N09000005,Usual residents aged 16 and over,All,118813,NA
Derry City and Strabane,N09000005,Usual residents aged 16 and over,Straight or heterosexual,107284,90.2965164
Derry City and Strabane,N09000005,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",2487,2.0932052999999997
Derry City and Strabane,N09000005,Usual residents aged 16 and over,Prefer not to say/ Not stated,9042,7.610278299999999
Derry City and Strabane,N09000005,Usual residents aged 16-24 years,All,16107,NA
Derry City and Strabane,N09000005,Usual residents aged 16-24 years,Straight or heterosexual,14032,87.1174024
Derry City and Strabane,N09000005,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",716,4.4452722
Derry City and Strabane,N09000005,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1359,8.437325399999999
Derry City and Strabane,N09000005,Usual residents aged 25-39 years,All,28761,NA
Derry City and Strabane,N09000005,Usual residents aged 25-39 years,Straight or heterosexual,25813,89.7500087
Derry City and Strabane,N09000005,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",1113,3.8698237000000004
Derry City and Strabane,N09000005,Usual residents aged 25-39 years,Prefer not to say/ Not stated,1835,6.3801676
Derry City and Strabane,N09000005,Usual residents aged 40-64 years,All,49788,NA
Derry City and Strabane,N09000005,Usual residents aged 40-64 years,Straight or heterosexual,46074,92.54037120000001
Derry City and Strabane,N09000005,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",592,1.1890414999999999
Derry City and Strabane,N09000005,Usual residents aged 40-64 years,Prefer not to say/ Not stated,3122,6.2705873
Derry City and Strabane,N09000005,Usual residents aged 65+ years,All,24157,NA
Derry City and Strabane,N09000005,Usual residents aged 65+ years,Straight or heterosexual,21365,88.4422735
Derry City and Strabane,N09000005,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",66,0.2732127
Derry City and Strabane,N09000005,Usual residents aged 65+ years,Prefer not to say/ Not stated,2726,11.2845138
Fermanagh and Omagh,N09000006,Usual residents aged 16 and over,All,92013,NA
Fermanagh and Omagh,N09000006,Usual residents aged 16 and over,Straight or heterosexual,82373,89.5232195
Fermanagh and Omagh,N09000006,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",1061,1.1530979000000001
Fermanagh and Omagh,N09000006,Usual residents aged 16 and over,Prefer not to say/ Not stated,8579,9.3236825
Fermanagh and Omagh,N09000006,Usual residents aged 16-24 years,All,11660,NA
Fermanagh and Omagh,N09000006,Usual residents aged 16-24 years,Straight or heterosexual,10328,88.5763293
Fermanagh and Omagh,N09000006,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",315,2.7015436999999998
Fermanagh and Omagh,N09000006,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1017,8.722126900000001
Fermanagh and Omagh,N09000006,Usual residents aged 25-39 years,All,20698,NA
Fermanagh and Omagh,N09000006,Usual residents aged 25-39 years,Straight or heterosexual,18878,91.2068799
Fermanagh and Omagh,N09000006,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",443,2.1403034
Fermanagh and Omagh,N09000006,Usual residents aged 25-39 years,Prefer not to say/ Not stated,1377,6.6528167
Fermanagh and Omagh,N09000006,Usual residents aged 40-64 years,All,38218,NA
Fermanagh and Omagh,N09000006,Usual residents aged 40-64 years,Straight or heterosexual,35152,91.97760219999999
Fermanagh and Omagh,N09000006,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",241,0.6305929
Fermanagh and Omagh,N09000006,Usual residents aged 40-64 years,Prefer not to say/ Not stated,2825,7.3918049
Fermanagh and Omagh,N09000006,Usual residents aged 65+ years,All,21437,NA
Fermanagh and Omagh,N09000006,Usual residents aged 65+ years,Straight or heterosexual,18015,84.0369455
Fermanagh and Omagh,N09000006,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",62,0.2892196
Fermanagh and Omagh,N09000006,Usual residents aged 65+ years,Prefer not to say/ Not stated,3360,15.673835
Lisburn and Castlereagh,N09000007,Usual residents aged 16 and over,All,118923,NA
Lisburn and Castlereagh,N09000007,Usual residents aged 16 and over,Straight or heterosexual,108649,91.36079649999999
Lisburn and Castlereagh,N09000007,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",2439,2.0509069
Lisburn and Castlereagh,N09000007,Usual residents aged 16 and over,Prefer not to say/ Not stated,7835,6.5882966000000005
Lisburn and Castlereagh,N09000007,Usual residents aged 16-24 years,All,13248,NA
Lisburn and Castlereagh,N09000007,Usual residents aged 16-24 years,Straight or heterosexual,11650,87.9378019
Lisburn and Castlereagh,N09000007,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",585,4.4157609
Lisburn and Castlereagh,N09000007,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1013,7.6464372
Lisburn and Castlereagh,N09000007,Usual residents aged 25-39 years,All,29818,NA
Lisburn and Castlereagh,N09000007,Usual residents aged 25-39 years,Straight or heterosexual,27141,91.0222014
Lisburn and Castlereagh,N09000007,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",1155,3.8734992000000004
Lisburn and Castlereagh,N09000007,Usual residents aged 25-39 years,Prefer not to say/ Not stated,1522,5.1042994
Lisburn and Castlereagh,N09000007,Usual residents aged 40-64 years,All,49643,NA
Lisburn and Castlereagh,N09000007,Usual residents aged 40-64 years,Straight or heterosexual,46557,93.783615
Lisburn and Castlereagh,N09000007,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",628,1.2650322999999999
Lisburn and Castlereagh,N09000007,Usual residents aged 40-64 years,Prefer not to say/ Not stated,2458,4.9513527
Lisburn and Castlereagh,N09000007,Usual residents aged 65+ years,All,26214,NA
Lisburn and Castlereagh,N09000007,Usual residents aged 65+ years,Straight or heterosexual,23301,88.8876173
Lisburn and Castlereagh,N09000007,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",71,0.2708476
Lisburn and Castlereagh,N09000007,Usual residents aged 65+ years,Prefer not to say/ Not stated,2842,10.8415351
Mid and East Antrim,N09000008,Usual residents aged 16 and over,All,113075,NA
Mid and East Antrim,N09000008,Usual residents aged 16 and over,Straight or heterosexual,102948,91.0439973
Mid and East Antrim,N09000008,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",1763,1.5591422000000001
Mid and East Antrim,N09000008,Usual residents aged 16 and over,Prefer not to say/ Not stated,8364,7.396860500000001
Mid and East Antrim,N09000008,Usual residents aged 16-24 years,All,13422,NA
Mid and East Antrim,N09000008,Usual residents aged 16-24 years,Straight or heterosexual,11862,88.377291
Mid and East Antrim,N09000008,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",533,3.9710922
Mid and East Antrim,N09000008,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1027,7.6516167
Mid and East Antrim,N09000008,Usual residents aged 25-39 years,All,24676,NA
Mid and East Antrim,N09000008,Usual residents aged 25-39 years,Straight or heterosexual,22417,90.84535580000001
Mid and East Antrim,N09000008,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",753,3.0515481
Mid and East Antrim,N09000008,Usual residents aged 25-39 years,Prefer not to say/ Not stated,1506,6.1030961
Mid and East Antrim,N09000008,Usual residents aged 40-64 years,All,47637,NA
Mid and East Antrim,N09000008,Usual residents aged 40-64 years,Straight or heterosexual,44452,93.3140206
Mid and East Antrim,N09000008,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",420,0.8816676000000001
Mid and East Antrim,N09000008,Usual residents aged 40-64 years,Prefer not to say/ Not stated,2765,5.8043118
Mid and East Antrim,N09000008,Usual residents aged 65+ years,All,27340,NA
Mid and East Antrim,N09000008,Usual residents aged 65+ years,Straight or heterosexual,24217,88.5771763
Mid and East Antrim,N09000008,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",57,0.2084857
Mid and East Antrim,N09000008,Usual residents aged 65+ years,Prefer not to say/ Not stated,3066,11.214338
Mid Ulster,N09000009,Usual residents aged 16 and over,All,115660,NA
Mid Ulster,N09000009,Usual residents aged 16 and over,Straight or heterosexual,104123,90.02507349999999
Mid Ulster,N09000009,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",1314,1.1360884999999998
Mid Ulster,N09000009,Usual residents aged 16 and over,Prefer not to say/ Not stated,10223,8.838838
Mid Ulster,N09000009,Usual residents aged 16-24 years,All,15881,NA
Mid Ulster,N09000009,Usual residents aged 16-24 years,Straight or heterosexual,14244,89.6920849
Mid Ulster,N09000009,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",402,2.5313267
Mid Ulster,N09000009,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1235,7.7765884
Mid Ulster,N09000009,Usual residents aged 25-39 years,All,30468,NA
Mid Ulster,N09000009,Usual residents aged 25-39 years,Straight or heterosexual,27217,89.3297886
Mid Ulster,N09000009,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",557,1.8281476
Mid Ulster,N09000009,Usual residents aged 25-39 years,Prefer not to say/ Not stated,2694,8.8420638
Mid Ulster,N09000009,Usual residents aged 40-64 years,All,46785,NA
Mid Ulster,N09000009,Usual residents aged 40-64 years,Straight or heterosexual,43143,92.21545370000001
Mid Ulster,N09000009,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",311,0.664743
Mid Ulster,N09000009,Usual residents aged 40-64 years,Prefer not to say/ Not stated,3331,7.1198033999999994
Mid Ulster,N09000009,Usual residents aged 65+ years,All,22526,NA
Mid Ulster,N09000009,Usual residents aged 65+ years,Straight or heterosexual,19519,86.6509811
Mid Ulster,N09000009,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",44,0.1953298
Mid Ulster,N09000009,Usual residents aged 65+ years,Prefer not to say/ Not stated,2963,13.1536891
"Newry, Mourne and Down",N09000010,Usual residents aged 16 and over,All,141996,NA
"Newry, Mourne and Down",N09000010,Usual residents aged 16 and over,Straight or heterosexual,128383,90.4131102
"Newry, Mourne and Down",N09000010,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",2099,1.4782107
"Newry, Mourne and Down",N09000010,Usual residents aged 16 and over,Prefer not to say/ Not stated,11514,8.1086791
"Newry, Mourne and Down",N09000010,Usual residents aged 16-24 years,All,18969,NA
"Newry, Mourne and Down",N09000010,Usual residents aged 16-24 years,Straight or heterosexual,16851,88.834414
"Newry, Mourne and Down",N09000010,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",629,3.3159365000000003
"Newry, Mourne and Down",N09000010,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1489,7.8496494
"Newry, Mourne and Down",N09000010,Usual residents aged 25-39 years,All,33564,NA
"Newry, Mourne and Down",N09000010,Usual residents aged 25-39 years,Straight or heterosexual,30281,90.21868669999999
"Newry, Mourne and Down",N09000010,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",859,2.5592897
"Newry, Mourne and Down",N09000010,Usual residents aged 25-39 years,Prefer not to say/ Not stated,2424,7.222023599999999
"Newry, Mourne and Down",N09000010,Usual residents aged 40-64 years,All,59134,NA
"Newry, Mourne and Down",N09000010,Usual residents aged 40-64 years,Straight or heterosexual,54746,92.57956510000001
"Newry, Mourne and Down",N09000010,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",539,0.9114891999999999
"Newry, Mourne and Down",N09000010,Usual residents aged 40-64 years,Prefer not to say/ Not stated,3849,6.5089458
"Newry, Mourne and Down",N09000010,Usual residents aged 65+ years,All,30329,NA
"Newry, Mourne and Down",N09000010,Usual residents aged 65+ years,Straight or heterosexual,26505,87.3916054
"Newry, Mourne and Down",N09000010,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",72,0.23739659999999999
"Newry, Mourne and Down",N09000010,Usual residents aged 65+ years,Prefer not to say/ Not stated,3752,12.3709981
Ards and North Down,N09000011,Usual residents aged 16 and over,All,133991,NA
Ards and North Down,N09000011,Usual residents aged 16 and over,Straight or heterosexual,122148,91.1613467
Ards and North Down,N09000011,Usual residents aged 16 and over,"Gay, lesbian, bisexual, other sexual orientation",2619,1.9546089
Ards and North Down,N09000011,Usual residents aged 16 and over,Prefer not to say/ Not stated,9224,6.8840445
Ards and North Down,N09000011,Usual residents aged 16-24 years,All,14432,NA
Ards and North Down,N09000011,Usual residents aged 16-24 years,Straight or heterosexual,12686,87.9018847
Ards and North Down,N09000011,Usual residents aged 16-24 years,"Gay, lesbian, bisexual, other sexual orientation",724,5.0166297
Ards and North Down,N09000011,Usual residents aged 16-24 years,Prefer not to say/ Not stated,1022,7.0814856
Ards and North Down,N09000011,Usual residents aged 25-39 years,All,27868,NA
Ards and North Down,N09000011,Usual residents aged 25-39 years,Straight or heterosexual,25302,90.79230659999999
Ards and North Down,N09000011,Usual residents aged 25-39 years,"Gay, lesbian, bisexual, other sexual orientation",1104,3.9615329
Ards and North Down,N09000011,Usual residents aged 25-39 years,Prefer not to say/ Not stated,1462,5.2461605
Ards and North Down,N09000011,Usual residents aged 40-64 years,All,55465,NA
Ards and North Down,N09000011,Usual residents aged 40-64 years,Straight or heterosexual,52010,93.7708465
Ards and North Down,N09000011,Usual residents aged 40-64 years,"Gay, lesbian, bisexual, other sexual orientation",692,1.2476336
Ards and North Down,N09000011,Usual residents aged 40-64 years,Prefer not to say/ Not stated,2763,4.9815198999999994
Ards and North Down,N09000011,Usual residents aged 65+ years,All,36226,NA
Ards and North Down,N09000011,Usual residents aged 65+ years,Straight or heterosexual,32150,88.7484127
Ards and North Down,N09000011,Usual residents aged 65+ years,"Gay, lesbian, bisexual, other sexual orientation",99,0.2732844
Ards and North Down,N09000011,Usual residents aged 65+ years,Prefer not to say/ Not stated,3977,10.978302900000001
